time,signal
18.930987119674683,614
18.956253051757812,664
18.98098111152649,718
19.006001949310303,778
19.03066086769104,836
19.055658102035522,877
19.0805881023407,915
19.107236862182617,944
19.13052201271057,977
19.15546703338623,1026
19.180447101593018,1086
19.20549511909485,1146
19.230623960494995,1215
19.25527787208557,1298
19.279959201812744,1356
19.305123805999756,1227
19.329710960388184,853
19.35467505455017,431
19.379710912704468,194
19.40460181236267,130
19.430403232574463,143
19.454331874847412,174
19.47917604446411,199
19.504029989242554,584
19.529011964797974,589
19.55375099182129,606
19.578856945037842,646
19.603795051574707,684
19.628849983215332,687
19.65371608734131,672
19.678178071975708,654
19.703166007995605,661
19.72830605506897,692
19.753198862075806,744
19.778100967407227,816
19.802949905395508,900
19.82794976234436,980
19.85297203063965,1064
19.877991914749146,1140
19.902910947799683,1202
19.927654027938843,1260
19.952563047409058,1319
19.977699041366577,1384
